slug,name,activities_status,relationships_status,associated_entities_status,hunting_pivots_status,malware_status,tools_status,targets_status,motivations_status,attribution_status,activities,dated_activities,relationships,associated_entities,entity_relationships,hunting_pivots,hunting_pivot_observations,malware,activity_linked_malware,tools,targets,motivations,external_activity_leads,external_alias_leads,external_relationship_leads,external_malware_leads,external_tool_leads,gap_count
earth-lusca,Earth Lusca,canonical-present,canonical-present,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,2,1,2,0,0,1,1,4,1,6,26,2,5,0,0,24,10,1
earth-yako,Earth Yako,lead-only,unknown,unknown,unknown,unknown,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
elderwood,Elderwood,lead-only,unknown,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,0,0,0,0,0,0,0,9,0,0,4,1,10,2,0,20,0,4
electric-panda,Electric Panda,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
electric-powder,Electric Powder,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5
eloquent-panda,Eloquent Panda,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ember-bear,Ember Bear,canonical-present,canonical-present,canonical-present,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,1,0,2,14,14,0,0,4,0,7,3,1,5,4,0,16,12,2
emennet-pasargad,Emennet Pasargad,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
empiremonkey,EmpireMonkey,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,5
equation-group,Equation Group,lead-only,lead-only,unknown,unknown,lead-only,unknown,lead-only,canonical-present,lead-only,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,21,0,4
evanescent-bat,Evanescent Bat,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
evilnum,Evilnum,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,lead-only,canonical-present,unknown,0,0,0,0,0,0,0,2,0,1,0,1,4,1,0,13,2,5
evilpost,EvilPost,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
exotic-lily,EXOTIC LILY,unknown,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,unknown,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,2,0,3
extreme-jackal,Extreme Jackal,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,23,0,5
famous-chollima,Famous Chollima,unknown,canonical-present,unknown,unknown,lead-only,lead-only,lead-only,canonical-present,canonical-present,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2
famoussparrow,FamousSparrow,canonical-present,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,canonical-present,1,1,2,0,0,0,0,1,1,0,10,1,13,0,1,20,0,0
ferocious-kitten,Ferocious Kitten,unknown,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,5
fin10,FIN10,unknown,unknown,unknown,unknown,lead-only,canonical-present,canonical-present,canonical-present,unknown,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,1,3
fin11,FIN11,lead-only,canonical-present,unknown,unknown,lead-only,lead-only,lead-only,lead-only,unknown,0,0,1,0,0,0,0,0,0,0,0,0,64,0,0,30,2,4
fin1125,FIN1125,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
fin13,FIN13,unknown,unknown,unknown,unknown,lead-only,canonical-present,canonical-present,canonical-present,lead-only,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,24,4,3
fin4,FIN4,unknown,unknown,unknown,unknown,lead-only,unknown,canonical-present,canonical-present,lead-only,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,3
fin5,FIN5,unknown,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,unknown,0,0,0,0,0,0,0,2,0,4,2,1,0,0,0,5,4,4
fin6,FIN6,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,unknown,1,0,0,0,0,0,0,8,0,4,2,0,8,0,0,24,4,5
fin7,FIN7,canonical-present,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,6,0,1,0,0,0,0,15,2,4,6,1,52,0,0,55,11,2
fin8,FIN8,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,unknown,1,0,0,0,0,0,0,5,1,6,3,1,7,0,0,9,7,3
fin9,FIN9,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
fox-kitten,Fox Kitten,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,3,0,2,5,0,5,0,0,23,9,5
foxy-panda,Foxy Panda,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
frankenstein,Frankenstein,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
fruityarmor,FruityArmor,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,5
fullofdeep,FullofDeep,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
gallium,GALLIUM,lead-only,lead-only,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,0,0,0,0,0,0,0,5,0,11,13,1,3,2,1,21,11,3
gallmaker,Gallmaker,unknown,unknown,unknown,unknown,lead-only,unknown,canonical-present,canonical-present,unknown,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,3
gamaredon,Gamaredon,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,2,2,0,0,0,0,0,5,2,3,3,1,30,0,0,23,5,2
gcman,GCMAN,unknown,unknown,unknown,unknown,lead-only,unknown,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,4
gekko-jackal,Gekko Jackal,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
gelsemium,Gelsemium,canonical-present,lead-only,unknown,unknown,lead-only,unknown,lead-only,canonical-present,lead-only,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,18,0,4
ghost-jackal,Ghost Jackal,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ghostsec,GhostSec,unknown,unknown,unknown,unknown,lead-only,lead-only,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5
ghostwriter,Ghostwriter,canonical-present,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,1,0,0,0,0,0,0,0,0,0,0,0,14,1,0,5,0,5
ghoul,Ghoul,lead-only,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
gibberish-panda,Gibberish Panda,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
goblin-panda,Goblin Panda,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,49,0,5
goffee,GOFFEE,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,4,4,0,0,0,0,0,8,8,5,10,2,0,0,0,0,0,2
gold-lowell,Gold lowell,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5
gold-southfield,GOLD SOUTHFIELD,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,lead-only,canonical-present,lead-only,0,0,0,0,0,0,0,1,0,1,0,1,57,0,0,6,1,5
golden-chickens,Golden Chickens,canonical-present,lead-only,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,13,0,5
gorgon-group,Gorgon Group,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,2,0,2,5,0,14,2,0,13,3,5
gossipgirl,GOSSIPGIRL,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,5
greenbug,Greenbug,lead-only,lead-only,unknown,unknown,canonical-present,unknown,lead-only,lead-only,canonical-present,0,0,0,0,0,0,0,1,0,0,0,0,4,0,10,0,0,5
greyenergy-group,GreyEnergy Group,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
group-27,Group 27,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,5
group5,Group5,unknown,unknown,unknown,unknown,canonical-present,unknown,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,5
gru-gtsst-main-center-for-special-technology,GRU GTsST (Main Center for Special Technology),unknown,unknown,unknown,unknown,lead-only,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
gunra,Gunra,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,2,1,0,0,0,0,0,2,2,9,12,1,0,0,0,0,0,1
hafnium,HAFNIUM,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,1,0,0,0,0,0,0,3,1,3,5,1,5,1,0,8,4,2
hammer-panda,Hammer Panda,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,5
head-mare,Head Mare,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,2,2,0,0,0,0,0,5,5,4,12,2,0,0,0,0,0,1
hellsing-apt,Hellsing APT,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
hexane,HEXANE,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,0,0,2,0,0,0,0,5,0,7,6,1,7,0,0,12,8,3
higaisa,Higaisa,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,2,0,1,5,0,16,0,0,14,2,5
honeybee,Honeybee,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
hound-spider,Hound Spider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
hurricane-panda,Hurricane Panda,lead-only,canonical-present,unknown,unknown,lead-only,lead-only,lead-only,lead-only,lead-only,0,0,1,0,0,0,0,0,0,0,0,0,25,6,2,33,1,4
iamtheking,IamtheKing,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,5
ice-fog,Ice Fog,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,13,0,5
impersonating-panda,Impersonating Panda,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
inc-ransom,INC Ransom,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,unknown,5,1,0,0,0,0,0,1,0,7,8,0,0,0,0,1,12,4
inception,Inception,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,1,1,0,0,0,0,0,5,4,1,8,1,10,2,0,5,2,2
indigozebra,IndigoZebra,unknown,unknown,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,4,0,4
indrik-spider,Indrik Spider,lead-only,canonical-present,canonical-present,unknown,canonical-present,canonical-present,lead-only,lead-only,lead-only,0,0,2,34,35,0,0,4,0,4,0,0,18,0,1,25,5,5
intellexa,Intellexa,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
invisimole,InvisiMole,canonical-present,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,1,1,1,0,0,0,0,1,1,0,3,1,2,0,0,1,0,1
ironhusky,IronHusky,canonical-present,unknown,unknown,unknown,lead-only,unknown,canonical-present,lead-only,lead-only,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,5,0,4
itaduke,ItaDuke,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
jewelbug,Jewelbug,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,2,0,0,0,0,0,0,3,3,1,13,2,0,0,0,7,0,2
karakurt,Karakurt,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,5
ke3chang,Ke3chang,canonical-present,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,1,1,2,0,0,0,0,3,0,8,7,0,15,0,0,51,10,3
keksec,Keksec,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,5
kimsuky,Kimsuky,canonical-present,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,31,14,4,0,0,0,0,19,9,8,21,3,69,0,2,39,12,0
konni,Konni,canonical-present,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,5,2,1,0,0,0,0,5,3,0,10,1,0,0,1,0,0,1
lace-tempest,Lace Tempest,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,24,0,5
lamberts,Lamberts,unknown,lead-only,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
lapsus,LAPSUS$,canonical-present,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,lead-only,lead-only,8,1,1,0,0,0,0,0,0,1,9,0,17,0,0,0,7,2
lazarus,Lazarus Group,canonical-present,canonical-present,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,8,4,7,0,0,2,2,32,10,4,31,2,124,0,3,165,12,0
lazyscripter,LazyScripter,unknown,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,unknown,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,13,7,5
lead,LEAD,unknown,lead-only,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,5
leafminer,Leafminer,unknown,unknown,unknown,unknown,lead-only,canonical-present,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,6,4,4
leviathan,Leviathan,canonical-present,unknown,canonical-present,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,1,1,0,5,6,0,0,10,0,7,9,1,7,4,0,25,11,2
lilac-typhoon,Lilac Typhoon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
london-blue,London Blue,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
lotus-blossom,Lotus Blossom,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,3,0,0,0,0,4,0,5,2,0,10,2,2,27,7,4
lucky-cat,Lucky Cat,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,5
luminousmoth,LuminousMoth,unknown,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,0,0,1,0,0,0,0,2,0,0,5,1,0,0,0,2,0,3
lunar-spider,Lunar Spider,canonical-present,unknown,unknown,unknown,lead-only,lead-only,lead-only,lead-only,lead-only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5
luoyu,LuoYu,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
machete,Machete,lead-only,unknown,unknown,unknown,canonical-present,lead-only,canonical-present,canonical-present,lead-only,0,0,0,0,0,0,0,1,0,0,3,1,4,0,0,4,1,4
madi,Madi,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5
magecart,Magecart,canonical-present,unknown,unknown,unknown,unknown,unknown,canonical-present,unknown,unknown,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
magnetic-spider,Magnetic Spider,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
malkamak,MalKamak,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,5
malteiro,Malteiro,unknown,unknown,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,4
mana-team,Mana Team,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
medusa-group,Medusa Group,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,unknown,unknown,0,0,0,0,0,2,2,1,0,4,1,0,0,0,0,0,0,5
menupass,menuPass,lead-only,canonical-present,canonical-present,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,2,4,7,0,0,13,0,12,24,0,24,5,0,55,13,4
metador,Metador,unknown,unknown,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,unknown,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,2,0,4
mimic-spider,Mimic Spider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
mirrorface,MirrorFace,canonical-present,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,3,1,1,0,0,0,0,9,5,12,9,1,21,0,0,46,5,1
moafee,Moafee,unknown,canonical-present,unknown,unknown,canonical-present,unknown,lead-only,lead-only,lead-only,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,5
modifiedelephant,ModifiedElephant,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
mofang,Mofang,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,lead-only,canonical-present,lead-only,0,0,1,0,0,0,0,1,0,1,0,1,2,2,0,6,2,4
molerats,Molerats,lead-only,unknown,unknown,unknown,canonical-present,lead-only,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,6,0,0,3,0,28,0,0,26,1,5
monty-spider,Monty Spider,lead-only,lead-only,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,5
moonstone-sleet,Moonstone Sleet,canonical-present,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,3,3,2,0,0,0,0,4,3,0,1,2,3,0,3,3,0,1
moses-staff,Moses Staff,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,3,0,1,12,0,1,0,0,3,1,5
moustachedbouncer,MoustachedBouncer,unknown,unknown,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,3,0,4
muddywater,MuddyWater,canonical-present,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,7,1,0,0,0,0,0,11,0,10,17,1,34,0,0,38,17,2
mummy-spider,Mummy Spider,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,1,0,5
mustang-panda,Mustang Panda,canonical-present,canonical-present,unknown,canonical-present,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,14,3,1,0,0,2,3,20,13,5,26,1,45,2,0,55,5,1
mustard-tempest,Mustard Tempest,canonical-present,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,lead-only,lead-only,2,0,1,0,0,0,0,2,1,0,1,0,18,1,1,20,0,3
naikon,Naikon,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,lead-only,canonical-present,canonical-present,0,0,2,0,0,0,0,8,0,7,0,1,9,3,1,36,8,3
nazar,Nazar,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
nb65,NB65,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5
neodymium,NEODYMIUM,unknown,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,lead-only,lead-only,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4
nettraveler,NetTraveler,canonical-present,canonical-present,unknown,unknown,canonical-present,unknown,canonical-present,canonical-present,lead-only,1,1,1,0,0,0,0,1,1,0,43,1,2,2,0,2,0,1
night-dragon,Night Dragon,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
nightshade-panda,Nightshade Panda,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,20,0,5
nomad-panda,Nomad Panda,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,5
nomadic-octopus,Nomadic Octopus,lead-only,unknown,unknown,unknown,canonical-present,lead-only,canonical-present,canonical-present,lead-only,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,4,1,4
noname,NoName,canonical-present,unknown,unknown,unknown,lead-only,unknown,canonical-present,unknown,unknown,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4
nso-group,NSO Group,canonical-present,unknown,unknown,unknown,unknown,unknown,canonical-present,lead-only,lead-only,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
oceanlotus,OceanLotus,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,10,0,5,7,0,27,0,0,35,10,5
oniondog,OnionDog,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
operation-wocao,Operation Wocao,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
orangeworm,Orangeworm,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,unknown,0,0,0,0,0,0,0,1,0,7,5,1,1,0,0,3,7,4
overlord-spider,Overlord Spider,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
pacha-group,Pacha Group,lead-only,unknown,unknown,unknown,lead-only,unknown,unknown,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,5
pale-panda,Pale Panda,unknown,unknown,unknown,unknown,lead-only,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
passcv,PassCV,unknown,lead-only,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,18,0,5
patchwork,Patchwork,canonical-present,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,1,0,1,0,0,0,0,6,0,2,7,1,10,0,0,21,2,3
pearl-sleet,Pearl Sleet,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
phlox-tempest,Phlox Tempest,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
pittytiger,PittyTiger,lead-only,canonical-present,unknown,unknown,canonical-present,canonical-present,lead-only,lead-only,lead-only,0,0,1,0,0,0,0,3,0,2,0,0,4,1,0,11,2,5
pizzo-spider,Pizzo Spider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
platinum,PLATINUM,lead-only,unknown,unknown,unknown,canonical-present,unknown,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,3,0,0,1,0,3,1,0,12,0,5
play,Play,unknown,unknown,unknown,unknown,canonical-present,canonical-present,lead-only,lead-only,unknown,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,6,16,6
poison-carp,Poison Carp,lead-only,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,15,0,5
poisonous-panda,Poisonous Panda,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
polonium,POLONIUM,lead-only,unknown,unknown,unknown,canonical-present,unknown,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,7,0,5
